%Warning: Data.hex:0: $readmem file not found
Switch 1 : 0 | Switch 2: 0 | Switch Master : 1019 | ClockCount = 2 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIL |  InDest: 0 | InSrc: 0 | OutDest: 0 | PortData1: 1019 | PmuxReadData: 1019 | DMuxSlaveData3: 1019 | DMuxReadData: 0 | InBlockUse: 0 | time=29000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 1019 | ClockCount = 3 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIL |  InDest: 0 | InSrc: 0 | OutDest: 0 | PortData1: 1019 | PmuxReadData: 1019 | DMuxSlaveData3: 1019 | DMuxReadData: 0 | InBlockUse: 0 | time=30000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 620 | ClockCount = 3 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIL |  InDest: 0 | InSrc: 0 | OutDest: 0 | PortData1: 620 | PmuxReadData: 620 | DMuxSlaveData3: 620 | DMuxReadData: 0 | InBlockUse: 0 | time=31000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 364 | ClockCount = 3 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIL |  InDest: 0 | InSrc: 0 | OutDest: 0 | PortData1: 364 | PmuxReadData: 364 | DMuxSlaveData3: 364 | DMuxReadData: 0 | InBlockUse: 0 | time=34000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 872 | ClockCount = 3 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIU |  InDest: 0 | InSrc: 0 | OutDest: 49152 | PortData1: 872 | PmuxReadData: 872 | DMuxSlaveData3: 872 | DMuxReadData: 0 | InBlockUse: 0 | time=37000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 767 | ClockCount = 4 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIU |  InDest: 0 | InSrc: 0 | OutDest: 49152 | PortData1: 767 | PmuxReadData: 767 | DMuxSlaveData3: 767 | DMuxReadData: 0 | InBlockUse: 0 | time=40000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 796 | ClockCount = 4 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIU |  InDest: 0 | InSrc: 0 | OutDest: 49152 | PortData1: 796 | PmuxReadData: 796 | DMuxSlaveData3: 796 | DMuxReadData: 0 | InBlockUse: 0 | time=43000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 51 | ClockCount = 4 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIU |  InDest: 0 | InSrc: 0 | OutDest: 49152 | PortData1: 51 | PmuxReadData: 51 | DMuxSlaveData3: 51 | DMuxReadData: 0 | InBlockUse: 0 | time=45000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 234 | ClockCount = 4 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIL |  InDest: 0 | InSrc: 0 | OutDest: 2 | PortData1: 234 | PmuxReadData: 234 | DMuxSlaveData3: 234 | DMuxReadData: 0 | InBlockUse: 0 | time=47000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 927 | ClockCount = 4 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIL |  InDest: 0 | InSrc: 0 | OutDest: 2 | PortData1: 927 | PmuxReadData: 927 | DMuxSlaveData3: 927 | DMuxReadData: 0 | InBlockUse: 0 | time=49000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 927 | ClockCount = 5 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIL |  InDest: 0 | InSrc: 0 | OutDest: 2 | PortData1: 927 | PmuxReadData: 927 | DMuxSlaveData3: 927 | DMuxReadData: 0 | InBlockUse: 0 | time=50000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 971 | ClockCount = 5 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIL |  InDest: 0 | InSrc: 0 | OutDest: 2 | PortData1: 971 | PmuxReadData: 971 | DMuxSlaveData3: 971 | DMuxReadData: 0 | InBlockUse: 0 | time=52000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 25 | ClockCount = 5 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIL |  InDest: 0 | InSrc: 0 | OutDest: 2 | PortData1: 25 | PmuxReadData: 25 | DMuxSlaveData3: 25 | DMuxReadData: 0 | InBlockUse: 0 | time=54000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 776 | ClockCount = 5 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LOAD |  InDest: 0 | InSrc: 49152 | OutDest: 776 | PortData1: 776 | PmuxReadData: 776 | DMuxSlaveData3: 776 | DMuxReadData: 776 | InBlockUse: 11 | time=56000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 785 | ClockCount = 5 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LOAD |  InDest: 0 | InSrc: 49152 | OutDest: 785 | PortData1: 785 | PmuxReadData: 785 | DMuxSlaveData3: 785 | DMuxReadData: 785 | InBlockUse: 11 | time=58000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 517 | ClockCount = 6 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LOAD |  InDest: 0 | InSrc: 49152 | OutDest: 517 | PortData1: 517 | PmuxReadData: 517 | DMuxSlaveData3: 517 | DMuxReadData: 517 | InBlockUse: 11 | time=60000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 812 | ClockCount = 6 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LOAD |  InDest: 0 | InSrc: 49152 | OutDest: 812 | PortData1: 812 | PmuxReadData: 812 | DMuxSlaveData3: 812 | DMuxReadData: 812 | InBlockUse: 11 | time=63000
Switch 1 : 812 | Switch 2: 0 | Switch Master : 812 | ClockCount = 6 | Output Value: 0 | Output Value (SVA): 812 | WriteEnable: 0 |  OpCode=LOAD |  InDest: 0 | InSrc: 49152 | OutDest: 812 | PortData1: 812 | PmuxReadData: 812 | DMuxSlaveData3: 812 | DMuxReadData: 812 | InBlockUse: 11 | time=65000
Switch 1 : 812 | Switch 2: 0 | Switch Master : 239 | ClockCount = 6 | Output Value: 0 | Output Value (SVA): 812 | WriteEnable: 0 |  OpCode=LOAD |  InDest: 0 | InSrc: 49152 | OutDest: 239 | PortData1: 239 | PmuxReadData: 239 | DMuxSlaveData3: 239 | DMuxReadData: 239 | InBlockUse: 11 | time=66000
Switch 1 : 812 | Switch 2: 0 | Switch Master : 880 | ClockCount = 6 | Output Value: 0 | Output Value (SVA): 812 | WriteEnable: 0 |  OpCode=LOAD |  InDest: 0 | InSrc: 49152 | OutDest: 880 | PortData1: 880 | PmuxReadData: 880 | DMuxSlaveData3: 880 | DMuxReadData: 880 | InBlockUse: 11 | time=67000
Switch 1 : 812 | Switch 2: 0 | Switch Master : 145 | ClockCount = 7 | Output Value: 0 | Output Value (SVA): 812 | WriteEnable: 0 |  OpCode=LOAD |  InDest: 0 | InSrc: 49152 | OutDest: 145 | PortData1: 145 | PmuxReadData: 145 | DMuxSlaveData3: 145 | DMuxReadData: 145 | InBlockUse: 11 | time=70000
Switch 1 : 812 | Switch 2: 0 | Switch Master : 125 | ClockCount = 7 | Output Value: 0 | Output Value (SVA): 812 | WriteEnable: 0 |  OpCode=LOAD |  InDest: 0 | InSrc: 49152 | OutDest: 125 | PortData1: 125 | PmuxReadData: 125 | DMuxSlaveData3: 125 | DMuxReadData: 125 | InBlockUse: 11 | time=73000
Switch 1 : 812 | Switch 2: 0 | Switch Master : 510 | ClockCount = 7 | Output Value: 0 | Output Value (SVA): 812 | WriteEnable: 0 |  OpCode=LOAD |  InDest: 0 | InSrc: 49152 | OutDest: 510 | PortData1: 510 | PmuxReadData: 510 | DMuxSlaveData3: 510 | DMuxReadData: 510 | InBlockUse: 11 | time=74000
Switch 1 : 812 | Switch 2: 510 | Switch Master : 510 | ClockCount = 7 | Output Value: 0 | Output Value (SVA): 1322 | WriteEnable: 0 |  OpCode=ADC |  InDest: 510 | InSrc: 812 | OutDest: 1322 | PortData1: 510 | PmuxReadData: 510 | DMuxSlaveData3: 510 | DMuxReadData: 0 | InBlockUse: 0 | time=75000
Switch 1 : 812 | Switch 2: 510 | Switch Master : 205 | ClockCount = 7 | Output Value: 0 | Output Value (SVA): 1322 | WriteEnable: 0 |  OpCode=ADC |  InDest: 510 | InSrc: 812 | OutDest: 1322 | PortData1: 205 | PmuxReadData: 205 | DMuxSlaveData3: 205 | DMuxReadData: 0 | InBlockUse: 0 | time=77000
